epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,4,,30.065040588378906,,,,,
0,9,,28.807212829589844,,,,,
0,14,,28.931032180786133,,,,,
0,15,,,88.8196029663086,125260584.0,120.5886459350586,0.773515522480011,52.869327545166016
0,15,32.348350524902344,,,,,,
1,19,,28.223617553710938,,,,,
1,24,,27.677791595458984,,,,,
1,29,,27.077974319458008,,,,,
1,31,,,98.68513488769531,100860496.0,129.2947540283203,0.9316049218177795,59.212703704833984
1,31,27.785539627075195,,,,,,
2,34,,26.454526901245117,,,,,
2,39,,26.981359481811523,,,,,
2,44,,26.861255645751953,,,,,
2,47,,,98.07606506347656,118457712.0,128.80429077148438,0.918369710445404,60.09415054321289
2,47,27.061107635498047,,,,,,
3,49,,25.81441879272461,,,,,
3,54,,26.53598976135254,,,,,
3,59,,25.668903350830078,,,,,
3,63,,,68.20170593261719,216320704.0,92.63555145263672,0.5386922955513,41.816322326660156
3,63,25.322406768798828,,,,,,
4,64,,24.294912338256836,,,,,
4,69,,23.889244079589844,,,,,
4,74,,23.391752243041992,,,,,
4,79,,23.557453155517578,,,,,
4,79,,,77.61598205566406,176542464.0,105.7327651977539,0.6393222212791443,45.985809326171875
4,79,23.832841873168945,,,,,,
5,84,,22.59787368774414,,,,,
5,89,,22.142297744750977,,,,,
5,94,,22.032024383544922,,,,,
5,95,,,75.08901977539062,225813808.0,102.37626647949219,0.6106124520301819,45.59617233276367
5,95,22.477418899536133,,,,,,
6,99,,21.433237075805664,,,,,
6,104,,21.19838523864746,,,,,
6,109,,21.4113712310791,,,,,
6,111,,,78.81157684326172,206377392.0,107.41490173339844,0.653446614742279,45.7068977355957
6,111,21.518110275268555,,,,,,
7,114,,22.463193893432617,,,,,
7,119,,22.29379653930664,,,,,
7,124,,20.770484924316406,,,,,
7,127,,,79.28438568115234,196241728.0,107.79951477050781,0.6594135165214539,48.25285720825195
7,127,21.387800216674805,,,,,,
8,129,,20.38483238220215,,,,,
8,134,,19.543272018432617,,,,,
8,139,,19.332544326782227,,,,,
8,143,,,81.05502319335938,186379200.0,109.84043884277344,0.6814098954200745,51.26835250854492
8,143,19.765953063964844,,,,,,
9,144,,18.86819839477539,,,,,
9,149,,17.97673225402832,,,,,
9,154,,17.453622817993164,,,,,
9,159,,17.734045028686523,,,,,
9,159,,,83.80913543701172,163551872.0,112.4151611328125,0.7218601703643799,57.502628326416016
9,159,18.355226516723633,,,,,,
